x,y,value
NY ,MN, 147.5
NY ,DOH, 177.8
NY ,A, 34.2
NY ,MVA, 5.4
NY ,APENS, 16.9
NY ,ISH, 8.1
NY ,AS, 3.6
NC ,MN, 161.6
NC ,DOH, 155.8
NC ,A, 52.2
NC ,MVA, 14.9
NC ,APENS, 18.3
NC ,ISH, 13.0
NC ,AS, 7.4
ND ,MN, 142.7
ND ,DOH, 140.9
ND ,A, 45.4
ND ,MVA, 16.5
ND ,APENS, 10.2
ND ,ISH, 19.0
ND ,AS,
OH ,MN, 173.4
OH ,DOH, 185.1
OH ,A, 66.6
OH ,MVA, 11.0
OH ,APENS, 37.7
OH ,ISH, 14.2
OH ,AS, 6.5
OK ,MN, 177.8
OK ,DOH, 228.2
OK ,A, 64.1
OK ,MVA, 18.1
OK ,APENS, 20.6
OK ,ISH, 21.0
OK ,AS, 8.6
OR ,MN, 155.9
OR ,DOH, 135.0
OR ,A, 46.0
OR ,MVA, 12.2
OR ,APENS, 10.9
OR ,ISH, 17.8
OR ,AS, 3.3
PA ,MN, 164.7
PA ,DOH, 176.2
PA ,A, 61.8
PA ,MVA, 9.7
PA ,APENS, 36.2
PA ,ISH, 14.7
PA ,AS, 6.0
RI ,MN, 158.0
RI ,DOH, 152.4
RI ,A, 56.6
RI ,MVA, 5.2
RI ,APENS, 31.3
RI ,ISH, 11.2
RI ,AS, 2.3
SC ,MN, 167.7
SC ,DOH, 173.8
SC ,A, 58.9
SC ,MVA, 21.5
SC ,APENS, 17.5
SC ,ISH, 15.7
SC ,AS, 9.0
SD ,MN, 156.7
SD ,DOH, 153.4
SD ,A, 53.4
SD ,MVA, 16.1
SD ,APENS, 8.5
SD ,ISH, 20.2
SD ,AS, 4.7
TN ,MN, 179.9
TN ,DOH, 198.8
TN ,A, 61.1
TN ,MVA, 16.1
TN ,APENS, 23.1
TN ,ISH, 16.3
TN ,AS, 8.8
TX ,MN, 148.5
TX ,DOH, 167.7
TX ,A, 38.6
TX ,MVA, 14.4
TX ,APENS, 9.5
TX ,ISH, 12.6
TX ,AS, 6.0
UT ,MN, 122.4
UT ,DOH, 150.0
UT ,A, 43.8
UT ,MVA, 9.8
UT ,APENS, 17.2
UT ,ISH, 21.8
UT ,AS, 2.5
VT ,MN, 158.4
VT ,DOH, 158.8
VT ,A, 54.8
VT ,MVA, 10.4
VT ,APENS, 19.2
VT ,ISH, 17.3
VT ,AS,
VA ,MN, 156.1
VA ,DOH, 150.7
VA ,A, 42.4
VA ,MVA, 9.6
VA ,APENS, 15.9
VA ,ISH, 13.2
VA ,AS, 5.5
WA ,MN, 150.9
WA ,DOH, 136.1
WA ,A, 41.4
WA ,MVA, 8.2
WA ,APENS, 13.2
WA ,ISH, 14.9
WA ,AS, 2.9
WV ,MN, 182.2
WV ,DOH, 191.0
WV ,A, 89.7
WV ,MVA, 15.6
WV ,APENS, 49.9
WV ,ISH, 19.3
WV ,AS, 6.3
WI ,MN, 158.0
WI ,DOH, 154.9
WI ,A, 55.6
WI ,MVA, 10.9
WI ,APENS, 18.2
WI ,ISH, 14.7
WI ,AS, 4.8
WY ,MN, 140.9
WY ,DOH, 157.8
WY ,A, 61.9
WY ,MVA, 17.7
WY ,APENS, 16.8
WY ,ISH, 25.2
WY ,AS,
PR ,MN, 109.2
PR ,DOH, 111.0
PR ,A, 20.6
PR ,MVA, 8.4
PR ,APENS, 1.2
PR ,ISH, 5.1
PR ,AS, 21.5
VI ,MN, 109.2
VI ,DOH, 124.5
VI ,A, 23.6
VI ,MVA,
VI ,APENS,
VI ,ISH,
VI ,AS, 44.7
GU ,MN, 157.0
GU ,DOH, 330.1
GU ,A, 19.1
GU ,MVA,
GU ,APENS,
GU ,ISH, 29.1
GU ,AS,
AS ,MN, 149.6
AS ,DOH, 165.8
AS ,A,
AS ,MVA,
AS ,APENS,
AS ,ISH,
AS ,AS,
MP ,MN, 118.0
MP ,DOH, 182.0
MP ,A,
MP ,MVA,
MP ,APENS,
MP ,ISH,
MP ,AS,
